# dishId;dishName;type;ingredientId:grams,ingredientId:grams
1;Куриное филе с рисом;MAIN_COURSE;1:200,3:150,2:10
2;Блинчики с сахаром;DESSERT;6:80,7:50,5:20,2:5
3;Овощной салат;STARTER;8:80,9:80,2:5
4;Греческий салат;STARTER;8:70,9:70,10:30,2:5
5;Стейк из говядины с картофелем;MAIN_COURSE;11:220,12:180,2:10
6;Куриный суп;MAIN_COURSE;1:80,12:60,13:40,15:250
7;Макароны с сыром;MAIN_COURSE;14:180,10:40,2:5
8;Омлет с овощами;MAIN_COURSE;7:90,8:40,9:40,2:5
9;Картофель по-деревенски;STARTER;12:220,2:15
10;Сырники со сливками;DESSERT;6:70,7:40,5:15,4:30
11;Тост с маслом;STARTER;16:40,2:5
12;Молочный коктейль сладкий;DESSERT;15:200,5:15
